# MEAN_SAMPLE_SIZE = 112238
# TOTAL_GENES = 19235
# CONDITIONED_INTERNAL = genesize, log_genesize, genedensity, log_genedensity, samplesize, log_samplesize, inverse_mac, log_inverse_mac
SET                        NGENES       BETA   BETA_STD         SE            P FULL_NAME
Curated_gene_sets:reac...       5      0.222    0.00358      0.405      0.29143 Curated_gene_sets:reactome_apobec3g_mediated_resistance_to_hiv1_infection
Curated_gene_sets:reac...      26      0.283     0.0104      0.177     0.055066 Curated_gene_sets:reactome_gap_junction_trafficking
Curated_gene_sets:reac...      12      0.416     0.0104      0.296     0.079685 Curated_gene_sets:reactome_fgfr2c_ligand_binding_and_activation
Curated_gene_sets:reac...      13      0.307    0.00798      0.292      0.14681 Curated_gene_sets:reactome_metabolism_of_porphyrins
Curated_gene_sets:reac...      12      0.461     0.0115      0.295     0.059403 Curated_gene_sets:reactome_fgfr4_ligand_binding_and_activation
Curated_gene_sets:reac...      48      0.173    0.00865       0.13     0.091941 Curated_gene_sets:reactome_vif_mediated_degradation_of_apobec3g
Curated_gene_sets:reac...     107      0.394     0.0293     0.0948   1.5956e-05 Curated_gene_sets:reactome_signaling_by_fgfr
Curated_gene_sets:reac...       9     -0.184   -0.00398      0.431      0.66547 Curated_gene_sets:reactome_digestion_of_dietary_carbohydrate
Curated_gene_sets:reac...      14      0.112    0.00302      0.265      0.33672 Curated_gene_sets:reactome_fgfr1_ligand_binding_and_activation
Curated_gene_sets:reac...      17      0.278    0.00825      0.233      0.11655 Curated_gene_sets:reactome_gap_junction_assembly
Curated_gene_sets:reac...      16     -0.242   -0.00697      0.215      0.86961 Curated_gene_sets:reactome_synthesis_of_glycosylphosphatidylinositol_gpi
Curated_gene_sets:reac...      21      -0.16   -0.00529      0.197      0.79182 Curated_gene_sets:reactome_rna_pol_i_transcription_initiation
Curated_gene_sets:reac...      24    -0.0849     -0.003      0.201      0.66336 Curated_gene_sets:reactome_pyrimidine_metabolism
Curated_gene_sets:reac...      28      0.182    0.00692      0.178      0.15442 Curated_gene_sets:reactome_intrinsic_pathway_for_apoptosis
Curated_gene_sets:reac...      70      0.269     0.0162      0.121     0.013447 Curated_gene_sets:reactome_pi3k_cascade
Curated_gene_sets:reac...      48      0.174    0.00868      0.138      0.10402 Curated_gene_sets:reactome_apoptotic_execution_phase
Curated_gene_sets:reac...      17      0.282    0.00839      0.244      0.12382 Curated_gene_sets:reactome_shc_related_events
Curated_gene_sets:naka...      23     0.0293    0.00101      0.206      0.44337 Curated_gene_sets:nakamura_cancer_microenvironment_up
Curated_gene_sets:naka...      45     -0.145     -0.007      0.149      0.83502 Curated_gene_sets:nakamura_cancer_microenvironment_dn
Curated_gene_sets:west...      21     0.0872    0.00288      0.213      0.34082 Curated_gene_sets:west_adrenocortical_tumor_markers_up
Curated_gene_sets:west...      20      0.544     0.0175      0.218    0.0063254 Curated_gene_sets:west_adrenocortical_tumor_markers_dn
Curated_gene_sets:wint...      88    0.00985   0.000665      0.101      0.46119 Curated_gene_sets:winter_hypoxia_up
Curated_gene_sets:wint...      46    -0.0332   -0.00162      0.144      0.59136 Curated_gene_sets:winter_hypoxia_dn
Curated_gene_sets:pare...     530      0.115     0.0188     0.0416    0.0027986 Curated_gene_sets:parent_mtor_signaling_up
Curated_gene_sets:pare...      45    -0.0195  -0.000942      0.146      0.55321 Curated_gene_sets:parent_mtor_signaling_dn
Curated_gene_sets:pyeo...      83     0.0625     0.0041      0.104      0.27461 Curated_gene_sets:pyeon_hpv_positive_tumors_up
Curated_gene_sets:pyeo...       9     0.0346   0.000747      0.357       0.4615 Curated_gene_sets:pyeon_hpv_positive_tumors_dn
Curated_gene_sets:naka...     269      0.137     0.0161     0.0595     0.010587 Curated_gene_sets:nakamura_tumor_zone_peripheral_vs_central_up
Curated_gene_sets:naka...     577     0.0595     0.0102     0.0407     0.071844 Curated_gene_sets:nakamura_tumor_zone_peripheral_vs_central_dn
Curated_gene_sets:picc...     202     0.0603    0.00614     0.0717      0.20044 Curated_gene_sets:piccaluga_angioimmunoblastic_lymphoma_up
Curated_gene_sets:picc...     126     0.0984    0.00794     0.0875      0.13048 Curated_gene_sets:piccaluga_angioimmunoblastic_lymphoma_dn
Curated_gene_sets:lu_t...      27      0.275     0.0103      0.199      0.08334 Curated_gene_sets:lu_tumor_vasculature_up
Curated_gene_sets:lu_t...       8     -0.214   -0.00436      0.318      0.74941 Curated_gene_sets:lu_tumor_vasculature_dn
Curated_gene_sets:kork...      41     -0.265    -0.0122      0.171      0.93919 Curated_gene_sets:korkola_embryonal_carcinoma_up
Curated_gene_sets:kork...      12     -0.218   -0.00545      0.293      0.77217 Curated_gene_sets:korkola_embryonal_carcinoma_dn
Curated_gene_sets:kork...      16      -0.27   -0.00779      0.231      0.87891 Curated_gene_sets:korkola_teratoma_up
Curated_gene_sets:kork...      20     -0.231   -0.00744      0.217       0.8562 Curated_gene_sets:korkola_yolk_sac_tumor_up
Curated_gene_sets:kork...       6     -0.139   -0.00245      0.351      0.65337 Curated_gene_sets:korkola_choriocarcinoma_up
Curated_gene_sets:kork...      11      -0.36    -0.0086      0.302      0.88301 Curated_gene_sets:korkola_choriocarcinoma_dn
Curated_gene_sets:kork...      43     -0.213    -0.0101      0.162      0.90592 Curated_gene_sets:korkola_seminoma_up
Curated_gene_sets:kork...      11     -0.221   -0.00529      0.297      0.77207 Curated_gene_sets:korkola_seminoma_dn
Curated_gene_sets:wata...      99      0.113    0.00806     0.0901      0.10554 Curated_gene_sets:watanabe_rectal_cancer_radiotherapy_responsive_up
Curated_gene_sets:wata...      88    -0.0234   -0.00158      0.105      0.58852 Curated_gene_sets:watanabe_rectal_cancer_radiotherapy_responsive_dn
Curated_gene_sets:holl...     190     0.0866    0.00856     0.0681      0.10184 Curated_gene_sets:hollmann_apoptosis_via_cd40_up
Curated_gene_sets:holl...     243     0.0598    0.00668     0.0636      0.17347 Curated_gene_sets:hollmann_apoptosis_via_cd40_dn
Curated_gene_sets:liu_...      88     0.0675    0.00456     0.0995      0.24872 Curated_gene_sets:liu_prostate_cancer_up
Curated_gene_sets:liu_...     441     0.0745     0.0111     0.0484     0.062163 Curated_gene_sets:liu_prostate_cancer_dn
Curated_gene_sets:liu_...     130     0.0339    0.00277     0.0891      0.35197 Curated_gene_sets:liu_sox4_targets_up
Curated_gene_sets:liu_...     293     0.0199    0.00244     0.0563        0.362 Curated_gene_sets:liu_sox4_targets_dn
Curated_gene_sets:onke...     739     0.0689     0.0132      0.037     0.031459 Curated_gene_sets:onken_uveal_melanoma_up
Curated_gene_sets:onke...     497     0.0989     0.0157     0.0437     0.011822 Curated_gene_sets:onken_uveal_melanoma_dn
Curated_gene_sets:bert...     187      0.054     0.0053     0.0686      0.21543 Curated_gene_sets:bertucci_medullary_vs_ductal_breast_cancer_up
Curated_gene_sets:bert...     160      0.253      0.023     0.0757   0.00041592 Curated_gene_sets:bertucci_medullary_vs_ductal_breast_cancer_dn
Curated_gene_sets:schu...     324      0.111     0.0143      0.057     0.025991 Curated_gene_sets:schuetz_breast_cancer_ductal_invasive_up
Curated_gene_sets:schu...      83      0.108    0.00706      0.105      0.15364 Curated_gene_sets:schuetz_breast_cancer_ductal_invasive_dn
Curated_gene_sets:davi...      53    0.00336   0.000176      0.147       0.4909 Curated_gene_sets:davicioni_pax_foxo1_signature_in_arms_up
Curated_gene_sets:davi...      19      0.172    0.00541      0.246      0.24217 Curated_gene_sets:davicioni_pax_foxo1_signature_in_arms_dn
Curated_gene_sets:four...      21    -0.0613   -0.00203      0.189      0.62747 Curated_gene_sets:fournier_acinar_development_early_up
Curated_gene_sets:four...       6      0.988     0.0175      0.462     0.016297 Curated_gene_sets:fournier_acinar_development_early_dn
Curated_gene_sets:four...      11     -0.371   -0.00886      0.303       0.8892 Curated_gene_sets:fournier_acinar_development_late_up
Curated_gene_sets:four...      21     0.0654    0.00216      0.206      0.37511 Curated_gene_sets:fournier_acinar_development_late_dn
Curated_gene_sets:nam_...      17      0.189    0.00562      0.229      0.20421 Curated_gene_sets:nam_fxyd5_targets_dn
Curated_gene_sets:fras...      45     -0.112   -0.00543      0.149      0.77482 Curated_gene_sets:frasor_tamoxifen_response_up
Curated_gene_sets:fras...      10     0.0826    0.00188      0.321      0.39831 Curated_gene_sets:frasor_tamoxifen_response_dn
Curated_gene_sets:kim_...     116      0.125     0.0097     0.0851     0.070479 Curated_gene_sets:kim_response_to_tsa_and_decitabine_up
Curated_gene_sets:kim_...      11      0.268    0.00641      0.257      0.14866 Curated_gene_sets:kim_response_to_tsa_and_decitabine_dn
Curated_gene_sets:seng...     283    -0.0799   -0.00962     0.0593      0.91111 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_up
Curated_gene_sets:seng...     328     0.0399    0.00517     0.0526      0.22398 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_dn
Curated_gene_sets:wata...      29      0.163    0.00633      0.183      0.18666 Curated_gene_sets:watanabe_colon_cancer_msi_vs_mss_up
Curated_gene_sets:wata...      68     -0.162   -0.00961      0.121      0.90949 Curated_gene_sets:watanabe_colon_cancer_msi_vs_mss_dn
Curated_gene_sets:koba...       7     -0.904    -0.0173      0.401       0.9879 Curated_gene_sets:kobayashi_egfr_signaling_6hr_up
Curated_gene_sets:koba...      17      0.847     0.0252      0.243   0.00025184 Curated_gene_sets:kobayashi_egfr_signaling_6hr_dn
Curated_gene_sets:soti...     144    -0.0684    -0.0059     0.0762      0.81521 Curated_gene_sets:sotiriou_breast_cancer_grade_1_vs_3_up
Curated_gene_sets:soti...      51     0.0988    0.00508      0.131      0.22486 Curated_gene_sets:sotiriou_breast_cancer_grade_1_vs_3_dn
Curated_gene_sets:gazd...      23      0.416     0.0144      0.183     0.011359 Curated_gene_sets:gazda_diamond_blackfan_anemia_erythroid_up
Curated_gene_sets:gazd...     456      0.114     0.0174     0.0441    0.0047256 Curated_gene_sets:gazda_diamond_blackfan_anemia_erythroid_dn
Curated_gene_sets:gazd...      30     -0.131   -0.00516      0.161      0.79167 Curated_gene_sets:gazda_diamond_blackfan_anemia_myeloid_up
Curated_gene_sets:gazd...      35      0.207    0.00883      0.173       0.1156 Curated_gene_sets:gazda_diamond_blackfan_anemia_myeloid_dn
Curated_gene_sets:gazd...      35      0.135    0.00575      0.186      0.23371 Curated_gene_sets:gazda_diamond_blackfan_anemia_progenitor_up
Curated_gene_sets:gazd...      59      0.245     0.0135      0.114     0.016179 Curated_gene_sets:gazda_diamond_blackfan_anemia_progenitor_dn
Curated_gene_sets:chem...     135      0.153     0.0128     0.0816      0.03037 Curated_gene_sets:chemnitz_response_to_prostaglandin_e2_up
Curated_gene_sets:chem...     357      0.163      0.022     0.0517   0.00080578 Curated_gene_sets:chemnitz_response_to_prostaglandin_e2_dn
Curated_gene_sets:zerb...       9      0.917     0.0198      0.378    0.0076192 Curated_gene_sets:zerbini_response_to_sulindac_up
Curated_gene_sets:zerb...       6     0.0949    0.00168      0.413      0.40913 Curated_gene_sets:zerbini_response_to_sulindac_dn
Curated_gene_sets:igar...       5      0.578    0.00932       0.51      0.12879 Curated_gene_sets:igarashi_atf4_targets_up
Curated_gene_sets:igar...      85    -0.0621   -0.00412      0.112       0.7108 Curated_gene_sets:igarashi_atf4_targets_dn
Curated_gene_sets:zhon...     159      0.114     0.0104     0.0726     0.057785 Curated_gene_sets:zhong_response_to_azacitidine_and_tsa_up
Curated_gene_sets:zhon...      63    -0.0502   -0.00287      0.112      0.67313 Curated_gene_sets:zhong_response_to_azacitidine_and_tsa_dn
Curated_gene_sets:davi...     309    -0.0536   -0.00674     0.0572      0.82566 Curated_gene_sets:davicioni_molecular_arms_vs_erms_up
Curated_gene_sets:davi...     173   -0.00212    -0.0002     0.0763      0.51109 Curated_gene_sets:davicioni_molecular_arms_vs_erms_dn
Curated_gene_sets:davi...     243     0.0322    0.00359     0.0681       0.3182 Curated_gene_sets:davicioni_targets_of_pax_foxo1_fusions_up
Curated_gene_sets:davi...      65   -0.00767  -0.000445      0.134      0.52279 Curated_gene_sets:davicioni_targets_of_pax_foxo1_fusions_dn
Curated_gene_sets:davi...      59     0.0778     0.0043      0.136      0.28418 Curated_gene_sets:davicioni_rhabdomyosarcoma_pax_foxo1_fusion_up
Curated_gene_sets:davi...      15      0.248    0.00691      0.284      0.19153 Curated_gene_sets:davicioni_rhabdomyosarcoma_pax_foxo1_fusion_dn
Curated_gene_sets:seng...     378     0.0513    0.00712     0.0515      0.15967 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_with_lmp1_up
Curated_gene_sets:seng...     149     -0.118    -0.0104     0.0796      0.93168 Curated_gene_sets:sengupta_nasopharyngeal_carcinoma_with_lmp1_dn
Curated_gene_sets:tura...      64     0.0235    0.00135      0.117      0.42061 Curated_gene_sets:turashvili_breast_normal_ductal_vs_lobular_up
Curated_gene_sets:tura...       5     -0.475   -0.00766      0.561      0.80145 Curated_gene_sets:turashvili_breast_normal_ductal_vs_lobular_dn
Curated_gene_sets:tura...      41      0.176    0.00809      0.153      0.12523 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_ductal_normal_up
Curated_gene_sets:tura...     178     0.0248    0.00237     0.0767      0.37315 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_ductal_normal_dn
Curated_gene_sets:tura...      73      0.156    0.00958      0.119     0.094624 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_lobular_normal_up
Curated_gene_sets:tura...      63     -0.135   -0.00773       0.12      0.86995 Curated_gene_sets:turashvili_breast_ductal_carcinoma_vs_lobular_normal_dn
Curated_gene_sets:tura...      19      0.011   0.000347      0.253      0.48264 Curated_gene_sets:turashvili_breast_carcinoma_ductal_vs_lobular_up
Curated_gene_sets:tura...       4    0.00346   4.99e-05      0.361      0.49617 Curated_gene_sets:turashvili_breast_carcinoma_ductal_vs_lobular_dn
Curated_gene_sets:tura...      64      0.187     0.0108      0.129     0.073126 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_ductal_normal_up
Curated_gene_sets:tura...      82      0.055    0.00359       0.11      0.30831 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_ductal_normal_dn
Curated_gene_sets:tura...      90     0.0456    0.00311      0.104       0.3302 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_lobular_normal_up
Curated_gene_sets:tura...      68      0.144    0.00857      0.124      0.12252 Curated_gene_sets:turashvili_breast_lobular_carcinoma_vs_lobular_normal_dn
Curated_gene_sets:chan...      34     -0.114   -0.00477      0.163      0.75671 Curated_gene_sets:chandran_metastasis_top50_up
Curated_gene_sets:chan...      42    -0.0209  -0.000978      0.138      0.56018 Curated_gene_sets:chandran_metastasis_top50_dn
Curated_gene_sets:wilc...     146     0.0365    0.00317     0.0816       0.3275 Curated_gene_sets:wilcox_response_to_progesterone_up
Curated_gene_sets:wilc...      59     0.0965    0.00533       0.13      0.22889 Curated_gene_sets:wilcox_response_to_progesterone_dn
Curated_gene_sets:fulc...     560     0.0595       0.01     0.0418     0.077179 Curated_gene_sets:fulcher_inflammatory_response_lectin_vs_lps_up
Curated_gene_sets:fulc...     436      -0.02   -0.00297     0.0479      0.66173 Curated_gene_sets:fulcher_inflammatory_response_lectin_vs_lps_dn
Curated_gene_sets:gary...     443    0.00441   0.000662     0.0453      0.46123 Curated_gene_sets:gary_cd5_targets_up
Curated_gene_sets:gary...     407     0.0101    0.00146     0.0474       0.4153 Curated_gene_sets:gary_cd5_targets_dn
Curated_gene_sets:zhou...     425     0.0229    0.00336     0.0486      0.31903 Curated_gene_sets:zhou_inflammatory_response_live_up
Curated_gene_sets:zhou...     362      0.158     0.0215     0.0496   0.00072773 Curated_gene_sets:zhou_inflammatory_response_live_dn
Curated_gene_sets:samo...       8     -0.211   -0.00429      0.332      0.73723 Curated_gene_sets:samols_targets_of_khsv_mirnas_up
Curated_gene_sets:samo...      50    0.00682   0.000347      0.141      0.48069 Curated_gene_sets:samols_targets_of_khsv_mirnas_dn
Curated_gene_sets:hooi...      85      0.113    0.00747      0.108      0.14941 Curated_gene_sets:hooi_st7_targets_up
Curated_gene_sets:hooi...     110      0.113    0.00849      0.101      0.13284 Curated_gene_sets:hooi_st7_targets_dn
Curated_gene_sets:pram...      50       0.43     0.0219      0.141    0.0011313 Curated_gene_sets:pramoonjago_sox4_targets_up
Curated_gene_sets:pram...      51       0.18    0.00926      0.131     0.084449 Curated_gene_sets:pramoonjago_sox4_targets_dn
Curated_gene_sets:puif...      75     0.0791    0.00493      0.109      0.23482 Curated_gene_sets:puiffe_invasion_inhibited_by_ascites_up
Curated_gene_sets:puif...     136     0.0643    0.00538     0.0843      0.22288 Curated_gene_sets:puiffe_invasion_inhibited_by_ascites_dn
Curated_gene_sets:piep...      12     0.0669    0.00167      0.331      0.41992 Curated_gene_sets:piepoli_lgi1_targets_up
Curated_gene_sets:piep...      11      0.219    0.00524      0.289      0.22424 Curated_gene_sets:piepoli_lgi1_targets_dn
Curated_gene_sets:thum...     378     0.0392    0.00544     0.0507      0.21985 Curated_gene_sets:thum_systolic_heart_failure_up
Curated_gene_sets:thum...     219      0.105     0.0111     0.0674     0.060314 Curated_gene_sets:thum_systolic_heart_failure_dn
Curated_gene_sets:caso...     158     0.0927    0.00837     0.0814      0.12726 Curated_gene_sets:casorelli_acute_promyelocytic_leukemia_up
Curated_gene_sets:caso...     622     0.0382    0.00677     0.0376      0.15437 Curated_gene_sets:casorelli_acute_promyelocytic_leukemia_dn
Curated_gene_sets:corr...      67     0.0448    0.00264      0.124      0.35934 Curated_gene_sets:corre_multiple_myeloma_up
Curated_gene_sets:corr...      57     0.0261    0.00142       0.14      0.42617 Curated_gene_sets:corre_multiple_myeloma_dn
Curated_gene_sets:hutt...     254    -0.0228    -0.0026     0.0597      0.64864 Curated_gene_sets:huttmann_b_cll_poor_survival_up
Curated_gene_sets:hutt...      57     -0.171   -0.00929      0.131       0.9043 Curated_gene_sets:huttmann_b_cll_poor_survival_dn
Curated_gene_sets:diaz...    1319     0.0144    0.00365     0.0269        0.296 Curated_gene_sets:diaz_chronic_meylogenous_leukemia_up
Curated_gene_sets:diaz...     109     0.0705     0.0053     0.0947      0.22807 Curated_gene_sets:diaz_chronic_meylogenous_leukemia_dn
Curated_gene_sets:caso...      39     -0.145   -0.00651      0.163      0.81241 Curated_gene_sets:casorelli_apl_secondary_vs_de_novo_up
Curated_gene_sets:caso...       9     -0.338   -0.00731      0.282      0.88417 Curated_gene_sets:casorelli_apl_secondary_vs_de_novo_dn
Curated_gene_sets:deur...     342     0.0678    0.00896     0.0525      0.09812 Curated_gene_sets:deurig_t_cell_prolymphocytic_leukemia_up
Curated_gene_sets:deur...     293   -0.00745  -0.000913     0.0569      0.55214 Curated_gene_sets:deurig_t_cell_prolymphocytic_leukemia_dn
Curated_gene_sets:liu_...     155     -0.043   -0.00384     0.0794      0.70581 Curated_gene_sets:liu_cmyb_targets_up
Curated_gene_sets:liu_...       7       -0.3   -0.00572      0.386      0.78146 Curated_gene_sets:liu_cmyb_targets_dn
Curated_gene_sets:liu_...     120     0.0631    0.00497     0.0896      0.24068 Curated_gene_sets:liu_vmyb_targets_up
Curated_gene_sets:liu_...      18     -0.278    -0.0085       0.23      0.88616 Curated_gene_sets:liu_targets_of_vmyb_vs_cmyb_up
Curated_gene_sets:liu_...      41      0.238      0.011      0.147     0.052775 Curated_gene_sets:liu_targets_of_vmyb_vs_cmyb_dn
Curated_gene_sets:char...     356     0.0636    0.00857     0.0499       0.1016 Curated_gene_sets:charafe_breast_cancer_luminal_vs_basal_up
Curated_gene_sets:char...     429     0.0593    0.00876     0.0499      0.11743 Curated_gene_sets:charafe_breast_cancer_luminal_vs_basal_dn
Curated_gene_sets:char...     436     0.0842     0.0125     0.0447     0.029892 Curated_gene_sets:charafe_breast_cancer_luminal_vs_mesenchymal_up
Curated_gene_sets:char...     438      0.183     0.0273     0.0493   0.00010136 Curated_gene_sets:charafe_breast_cancer_luminal_vs_mesenchymal_dn
Curated_gene_sets:char...     114     -0.023   -0.00177     0.0847      0.60718 Curated_gene_sets:charafe_breast_cancer_basal_vs_mesenchymal_up
Curated_gene_sets:char...      49      0.186    0.00938      0.149      0.10652 Curated_gene_sets:charafe_breast_cancer_basal_vs_mesenchymal_dn
Curated_gene_sets:doan...      66     0.0308     0.0018      0.115      0.39427 Curated_gene_sets:doane_breast_cancer_classes_up
Curated_gene_sets:doan...      34     0.0593    0.00249      0.176      0.36827 Curated_gene_sets:doane_breast_cancer_classes_dn
Curated_gene_sets:doan...     171       0.03    0.00282     0.0712      0.33671 Curated_gene_sets:doane_response_to_androgen_up
Curated_gene_sets:doan...     226     0.0481    0.00518     0.0658      0.23218 Curated_gene_sets:doane_response_to_androgen_dn
Curated_gene_sets:doan...     107     0.0919    0.00683     0.0944      0.16534 Curated_gene_sets:doane_breast_cancer_esr1_up
Curated_gene_sets:doan...      46     0.0811    0.00396       0.14       0.2806 Curated_gene_sets:doane_breast_cancer_esr1_dn
Curated_gene_sets:wang...      28     0.0112   0.000426      0.171      0.47396 Curated_gene_sets:wang_response_to_androgen_up
Curated_gene_sets:wang...      22     0.0638    0.00216       0.19      0.36859 Curated_gene_sets:wang_response_to_forskolin_up
Curated_gene_sets:wang...       9      0.174    0.00376      0.335      0.30186 Curated_gene_sets:wang_response_to_forskolin_dn
Curated_gene_sets:timo...      16      0.665     0.0192      0.223    0.0014447 Curated_gene_sets:timofeeva_growth_stress_via_stat1_dn
Curated_gene_sets:laih...     109    -0.0989   -0.00742     0.0909      0.86154 Curated_gene_sets:laiho_colorectal_cancer_serrated_up
Curated_gene_sets:laih...      64    0.00478   0.000275      0.111      0.48287 Curated_gene_sets:laiho_colorectal_cancer_serrated_dn
Curated_gene_sets:borc...     283    0.00155   0.000186     0.0561      0.48899 Curated_gene_sets:borczuk_malignant_mesothelioma_up
Curated_gene_sets:borc...      88      0.148    0.00998     0.0938     0.057425 Curated_gene_sets:borczuk_malignant_mesothelioma_dn
Curated_gene_sets:roy_...      46    -0.0682   -0.00333       0.15      0.67568 Curated_gene_sets:roy_wound_blood_vessel_up
Curated_gene_sets:roy_...      20    -0.0084  -0.000271      0.214      0.51567 Curated_gene_sets:roy_wound_blood_vessel_dn
Curated_gene_sets:grab...      74       0.07    0.00433      0.115      0.27224 Curated_gene_sets:grabarczyk_bcl11b_targets_up
Curated_gene_sets:grab...      53   -0.00891  -0.000467      0.134      0.52642 Curated_gene_sets:grabarczyk_bcl11b_targets_dn
Curated_gene_sets:newm...      26    0.00095   3.49e-05      0.206      0.49816 Curated_gene_sets:newman_ercc6_targets_up
Curated_gene_sets:newm...      36      0.148    0.00641      0.165      0.18388 Curated_gene_sets:newman_ercc6_targets_dn
Curated_gene_sets:hori...     284       0.16     0.0193     0.0595    0.0036168 Curated_gene_sets:horiuchi_wtap_targets_up
Curated_gene_sets:hori...     295     0.0681    0.00837      0.056      0.11204 Curated_gene_sets:horiuchi_wtap_targets_dn
Curated_gene_sets:gal_...     122      0.052    0.00413     0.0844      0.26885 Curated_gene_sets:gal_leukemic_stem_cell_up
Curated_gene_sets:gal_...     233     -0.115    -0.0126     0.0627      0.96645 Curated_gene_sets:gal_leukemic_stem_cell_dn
Curated_gene_sets:choi...      18     0.0736    0.00225      0.236      0.37729 Curated_gene_sets:choi_atl_chronic_vs_acute_dn
Curated_gene_sets:basa...     279     0.0176     0.0021     0.0563      0.37727 Curated_gene_sets:basaki_ybx1_targets_up
Curated_gene_sets:basa...     348      0.163     0.0217     0.0541    0.0012955 Curated_gene_sets:basaki_ybx1_targets_dn
Curated_gene_sets:noji...      29    0.00682   0.000265      0.187      0.48543 Curated_gene_sets:nojima_sfrp2_targets_up
Curated_gene_sets:noji...      24     -0.114   -0.00402      0.197      0.71858 Curated_gene_sets:nojima_sfrp2_targets_dn
Curated_gene_sets:wikm...      14     0.0162   0.000437      0.272      0.47626 Curated_gene_sets:wikman_asbestos_lung_cancer_up
Curated_gene_sets:wikm...      27   -0.00957  -0.000358      0.169      0.52258 Curated_gene_sets:wikman_asbestos_lung_cancer_dn
Curated_gene_sets:rodr...       5       1.32     0.0213      0.515    0.0052527 Curated_gene_sets:rodrigues_dcc_targets_up
Curated_gene_sets:rodr...     115       0.11    0.00852     0.0951      0.12267 Curated_gene_sets:rodrigues_dcc_targets_dn
Curated_gene_sets:rodr...      14     -0.252    -0.0068      0.271      0.82399 Curated_gene_sets:rodrigues_ntn1_targets_up
Curated_gene_sets:rodr...     152      0.152     0.0134     0.0798     0.028773 Curated_gene_sets:rodrigues_ntn1_targets_dn
Curated_gene_sets:wang...     337       0.13      0.017     0.0521    0.0063398 Curated_gene_sets:wang_lmo4_targets_up
Curated_gene_sets:wang...     331      0.078     0.0101     0.0529     0.069948 Curated_gene_sets:wang_lmo4_targets_dn
Curated_gene_sets:wang...     231     0.0889    0.00968     0.0635     0.080628 Curated_gene_sets:wang_clim2_targets_up
Curated_gene_sets:wang...     176    -0.0103  -0.000979     0.0713      0.55734 Curated_gene_sets:wang_clim2_targets_dn
Curated_gene_sets:vecc...     166      0.121     0.0112     0.0813     0.067832 Curated_gene_sets:vecchi_gastric_cancer_advanced_vs_early_up
Curated_gene_sets:vecc...     129    -0.0188   -0.00153     0.0858      0.58653 Curated_gene_sets:vecchi_gastric_cancer_advanced_vs_early_dn
Curated_gene_sets:vecc...     398     0.0115    0.00164     0.0489        0.407 Curated_gene_sets:vecchi_gastric_cancer_early_up
Curated_gene_sets:vecc...     314     0.0774    0.00981     0.0591     0.095223 Curated_gene_sets:vecchi_gastric_cancer_early_dn
Curated_gene_sets:barr...      40     -0.216   -0.00984      0.145      0.93197 Curated_gene_sets:barrier_colon_cancer_recurrence_up
Curated_gene_sets:barr...      16      0.198    0.00572       0.23      0.19393 Curated_gene_sets:barrier_colon_cancer_recurrence_dn
Curated_gene_sets:smir...     150    -0.0181    -0.0016     0.0791      0.59063 Curated_gene_sets:smirnov_circulating_endotheliocytes_in_cancer_up
Curated_gene_sets:smir...       5    -0.0897   -0.00145      0.418      0.58493 Curated_gene_sets:smirnov_circulating_endotheliocytes_in_cancer_dn
Curated_gene_sets:sleb...      76     0.0366    0.00229      0.104      0.36207 Curated_gene_sets:slebos_head_and_neck_cancer_with_hpv_up
Curated_gene_sets:jaeg...      39       0.26     0.0117      0.169     0.061662 Curated_gene_sets:jaeger_metastasis_up
Curated_gene_sets:jaeg...     250      0.125     0.0141     0.0622     0.022435 Curated_gene_sets:jaeger_metastasis_dn
Curated_gene_sets:osma...     385   0.000993   0.000139     0.0489       0.4919 Curated_gene_sets:osman_bladder_cancer_up
Curated_gene_sets:osma...     360      0.042    0.00569     0.0492      0.19695 Curated_gene_sets:osman_bladder_cancer_dn
Curated_gene_sets:gine...      72     0.0949     0.0058      0.112      0.19939 Curated_gene_sets:ginestier_breast_cancer_znf217_amplified_up
Curated_gene_sets:gine...     303     0.0939     0.0117     0.0526      0.03702 Curated_gene_sets:ginestier_breast_cancer_znf217_amplified_dn
Curated_gene_sets:gine...     111     0.0557    0.00422     0.0976      0.28409 Curated_gene_sets:ginestier_breast_cancer_20q13_amplification_up
Curated_gene_sets:gine...     150      0.198     0.0174     0.0768    0.0050121 Curated_gene_sets:ginestier_breast_cancer_20q13_amplification_dn
Curated_gene_sets:oswa...     224      0.221     0.0238     0.0645   0.00029942 Curated_gene_sets:oswald_hematopoietic_stem_cell_in_collagen_gel_up
Curated_gene_sets:oswa...     255     0.0475    0.00543     0.0598      0.21342 Curated_gene_sets:oswald_hematopoietic_stem_cell_in_collagen_gel_dn
Curated_gene_sets:garg...      32     -0.208   -0.00846      0.167      0.89255 Curated_gene_sets:gargalovic_response_to_oxidized_phospholipids_yellow_up
