# ALPHA = 0.05
# TOT_SETS = 10651


# _SET1_ SET = Curated_gene_sets:kegg_pathways_in_cancer
# _SET1_ NGENES = 318
# _SET1_ P = 3.83538e-06
_SET1_     GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
_SET6_     ENSG00000085741    11   75892369   75926780    159      48  113029     -0.11337      0.54513
_SET6_     ENSG00000048649    11   77366041   77537063    636      43  112307        1.767     0.038612
_SET6_     ENSG00000137504    11   85365752   85398951    104      40  113717       1.8201      0.03437
_SET6_     ENSG00000073921    11   85663727   85785924    566      49  119910       3.2195   0.00064212
_SET6_     ENSG00000074266    11   85950586   85994855    196      36  108219       1.5636      0.05896
_SET6_     ENSG00000134627    11   94272006   94359587    412      61  116461     -0.26444      0.60428
_SET6_     ENSG00000082175    11  100895355  101006255    514      50  122962       0.7124      0.23811
_SET6_     ENSG00000023445    11  102183215  102215134     98      36  102540      0.16035       0.4363
_SET6_     ENSG00000110330    11  102212942  102254401    141      33  111397       1.7898     0.036742
_SET6_     ENSG00000109846    11  111774289  111799446     71      22  109527       0.7042      0.24066
_SET6_     ENSG00000109906    11  113925315  114126398    970     178  118461     -0.14723      0.55853
_SET6_     ENSG00000198851    11  118170260  118191890     82      22  124133      0.85204       0.1971
_SET6_     ENSG00000188486    11  118959564  118971177     40      16  110691     -0.31226      0.62258
_SET6_     ENSG00000172273    11  118987297  119011752     91      20  109431     -0.11686      0.54651
_SET6_     ENSG00000036672    11  119220925  119257436    126      42  107331     -0.45578      0.67573
_SET6_     ENSG00000137699    11  119976983  120061237    454      60  118521       1.7323     0.041607
_SET6_     ENSG00000137709    11  120102349  120195653    404      89  113448    -0.084012      0.53348
_SET6_     ENSG00000109971    11  122923197  122938938    106      26  121395      0.15155      0.43977
_SET6_     ENSG00000166261    11  123589885  123617383    133      20  122960     -0.41774      0.66193
_SET6_     ENSG00000043039    11  129240835  129327171    466      99  117854       1.3839     0.083188
_SET6_     ENSG00000073614    12     384295     503620    553      44  112519       2.0513     0.020117
_SET6_     ENSG00000111206    12    2961847    2991206     85      34  105769       1.3452     0.089274
_SET6_     ENSG00000111640    12    6638093    6652537     76      26  108087       2.1003     0.017852
_SET6_     ENSG00000111642    12    6674249    6721642    185      38  105621     -0.72016      0.76429
_SET6_     ENSG00000111653    12    6754446    6777314     84      30  103028     -0.40149      0.65597
_SET6_     ENSG00000111676    12    7028626    7056484    129      47   99767     -0.19176      0.57604
_SET6_     ENSG00000215021    12    7069490    7084988     55      25  103917      -1.5949      0.94463
_SET6_     ENSG00000175899    12    9215260    9273825    198      28  117988     -0.19626       0.5778
_SET6_     ENSG00000060138    12   10846683   10880911    137      34  116874      0.70124      0.24158
_SET6_     ENSG00000139083    12   11797788   12053336   1188     188  112302     -0.40117      0.65585
_SET6_     ENSG00000111276    12   12862992   12880305     70      27  112286       4.6446   1.7038e-06
_SET6_     ENSG00000171681    12   14513610   14656697    562      49  117963       2.2114     0.013504
_SET6_     ENSG00000197837    12   14915933   14929065     55      17  115614      0.38563      0.34988
_SET6_     ENSG00000246705    12   14922270   14935936     64      28  114727       0.2193      0.41321
_SET6_     ENSG00000023734    12   16030325   16061412     96      14   96977      0.45212      0.32559
_SET6_     ENSG00000139154    12   19551979   19878735   1920     105  127339       2.0611     0.019645
_SET6_     ENSG00000123095    12   26267959   26283060     49      26  112039       1.0524      0.14631
_SET6_     ENSG00000133704    12   30776922   30853920    323      29  124907       1.9646      0.02473
_SET6_     ENSG00000110888    12   30857486   30912885    251      45  123097       3.1161   0.00091621
_SET6_     ENSG00000188906    12   40585546   40768087    869      75  124047      0.82355       0.2051
_SET6_     ENSG00000015153    12   42545906   42637151    404      42  104798     -0.52075      0.69873
_SET6_     ENSG00000139174    12   42847140   42989157    693     100  120599        1.318     0.093747
_SET6_     ENSG00000061273    12   48171505   48231915    287      63  121799      0.46758      0.32004
_SET6_     ENSG00000111424    12   48230320   48341831    569      97  117224        -1.24      0.89252
_SET6_     ENSG00000129315    12   49077247   49115681    152      30  109246     -0.41425      0.66066
_SET6_     ENSG00000169884    12   49354123   49370546     57      21  112105       0.9151      0.18007
_SET6_     ENSG00000167548    12   49407758   49458557    110      37  102833       1.3741     0.084707
_SET6_     ENSG00000139644    12   50096508   50163717    356      35  107840      0.84369      0.19942
_SET6_     ENSG00000186666    12   50226573   50241912     58      21  121497      -1.4163      0.92165
_SET6_     ENSG00000139610    12   51717227   51745463    125      32  114630      0.65105      0.25751
_SET6_     ENSG00000167612    12   52276744   52290448     85      27  118842       1.4801     0.069422
_SET6_     ENSG00000135503    12   52340451   52395862    179      48  108709       3.2553   0.00056642
_SET6_     ENSG00000172819    12   53599354   53631764     93      36  108848       2.2526     0.012142
_SET6_     ENSG00000123349    12   53684075   53698234     40      16  103958       1.2506      0.10554
_SET6_     ENSG00000094914    12   53696240   53723648     84      21  103920       1.1805      0.11889
_SET6_     ENSG00000139546    12   53889705   53905215     26      17   96348    -0.052212      0.52082
_SET6_     ENSG00000170653    12   53896640   54025199    430      57  113505     -0.51466      0.69661
_SET6_     ENSG00000037965    12   54397832   54412570     28      18   94297        2.502    0.0061754
_SET6_     ENSG00000094916    12   54619724   54678886    141      53  106204      0.57154      0.28382
_SET6_     ENSG00000123411    12   56396443   56437219    102      36   99871        1.508      0.06578
_SET6_     ENSG00000197728    12   56430637   56443116     36      18   91826      0.53394      0.29669
_SET6_     ENSG00000170515    12   56493103   56512691     54      27  105019       1.8435     0.032627
_SET6_     ENSG00000139613    12   56551767   56588351    106      43   93958      0.04359      0.48262
_SET6_     ENSG00000257727    12   56698626   56715120     48      21   98429     -0.26036      0.60271
_SET6_     ENSG00000111602    12   56805903   56848187    205      37  105217      0.59693      0.27528
_SET6_     ENSG00000076108    12   56984380   57035600    170      53  101541     -0.31013      0.62177
_SET6_     ENSG00000196531    12   57101212   57130412     96      38  102026     -0.20355      0.58065
_SET6_     ENSG00000166886    12   57477677   57494259     59      25  114798     -0.39806      0.65471
_SET6_     ENSG00000166888    12   57484191   57530922    147      49  112681       1.0316      0.15114
_SET6_     ENSG00000175197    12   57905371   57919300     37      19   98568      -0.1398      0.55559
_SET6_     ENSG00000183735    12   64840660   64900888    214      55  108404     0.011999      0.49521
_SET6_     ENSG00000149948    12   66212911   66365075    507      88  110399       7.9803   7.3016e-16
_SET6_     ENSG00000090376    12   66577659   66653402    277      56  105119      0.59381      0.27632
_SET6_     ENSG00000111537    12   68543548   68558527     54      21  110206      0.93978      0.17367
_SET6_     ENSG00000111581    12   69075514   69141785    258      38  117575       0.9137      0.18044
_SET6_     ENSG00000135679    12   69196956   69244214    176      45  113702      0.49094      0.31174
_SET6_     ENSG00000111596    12   70631774   70753773    511      42  120481     -0.37715      0.64697
_SET6_     ENSG00000165891    12   77410027   77464360    243      74  123103       2.6481    0.0040475
_SET6_     ENSG00000177425    12   79963759   80089877    375      46   94350     -0.18132      0.57194
_SET6_     ENSG00000111046    12   81096277   81108253     46      16  109927      0.87991      0.18946
_SET6_     ENSG00000180318    12   85668885   85700562    110      36  108228      0.15353      0.43899
_SET6_     ENSG00000120798    12   95409005   95472479    220      51  117424       2.3946    0.0083188
_SET6_     ENSG00000111145    12   96583160   96668613    358      79  116742       1.5352     0.062371
_SET6_     ENSG00000012504    12  100862486  100963191    394      62  108682     -0.58179      0.71965
_SET6_     ENSG00000075188    12  102462967  102518902    215      51  120542       1.4191     0.077928
_SET6_     ENSG00000139352    12  103346464  103359294     30      15  110351      -1.2306      0.89077
_SET6_     ENSG00000139372    12  104354582  104387652    163      35  127585     -0.68387      0.75297
_SET6_     ENSG00000111727    12  104453235  104503639    176      43  119471      -1.0355      0.84979
_SET6_     ENSG00000008405    12  107380142  107492607    407      46  118998      0.60608      0.27223
_SET6_     ENSG00000174600    12  108676821  108738118    314      94  118547      0.15046       0.4402
_SET6_     ENSG00000076555    12  109549400  109711031    785      74  119091     -0.21522       0.5852
_SET6_     ENSG00000111199    12  110215890  110276212    313      52  114663       3.7445   9.0369e-05
_SET6_     ENSG00000111249    12  111466828  111793358   1154      91  103263       1.9575     0.025146
_SET6_     ENSG00000089248    12  112446120  112466255     53      14  123035       1.5071     0.065898
_SET6_     ENSG00000139405    12  113618331  113635173     58      15  109568      0.56903      0.28467
_SET6_     ENSG00000135111    12  115103059  115126969    100      44  101884       2.4351    0.0074434
_SET6_     ENSG00000111707    12  118809185  118860840    241      44  110055     -0.86334      0.80602
_SET6_     ENSG00000089163    12  120735119  120756052    107      29  109533      0.49747      0.30943
_SET6_     ENSG00000111786    12  120894471  120912596     80      27  115803       1.5107     0.065432
_SET6_     ENSG00000089094    12  121861900  122023920    582      80  104906       3.0873    0.0010098
_SET6_     ENSG00000110987    12  122452328  122504948    233      57  112861       5.0687   2.0029e-07
_SET6_     ENSG00000183955    12  123863320  123898905    153      37  107768       4.5927   2.1878e-06
_SET6_     ENSG00000196498    12  124803961  125057135   1487     205  109739       3.3417   0.00041635
_SET6_     ENSG00000150991    12  125391150  125406914     86      33  102634     -0.91748      0.82056
_SET6_     ENSG00000125207    12  130817432  130862182    247      61  112480      0.53237      0.29724
_SET6_     ENSG00000132341    12  131351424  131367223     90      24  109354      0.37029      0.35558
_SET6_     ENSG00000061936    12  132190626  132289282    404      64  109347      0.27292      0.39246
_SET6_     ENSG00000090612    12  133702570  133788698    366      30  114497       1.1393       0.1273
_SET6_     ENSG00000196199    13   20202788   20252599    227      51  104880      0.85209      0.19708
_SET6_     ENSG00000121390    13   20243896   20362142    565      50  103496      0.12828      0.44896
_SET6_     ENSG00000150459    13   21709653   21728221     84      31  107536     -0.83304      0.79759
_SET6_     ENSG00000102678    13   22240522   22283637    171      47  101505       2.1966     0.014023
_SET6_     ENSG00000139496    13   25870662   25928938    157      64   98309      0.26669      0.39485
_SET6_     ENSG00000139515    13   28489157   28505368     56      19  117113       4.0813   2.2393e-05
_SET6_     ENSG00000165556    13   28531274   28550276     65      19  117223      0.78585      0.21598
_SET6_     ENSG00000189403    13   31027884   31196734    748     168  109231    0.0064189      0.49744
_SET6_     ENSG00000244754    13   33001554   33117970    395      40  103774     -0.26515      0.60455
_SET6_     ENSG00000150907    13   41124804   41245734    435      57  113713      0.34258      0.36596
_SET6_     ENSG00000080618    13   46622321   46684211    283      29  113463     -0.55202      0.70953
_SET6_     ENSG00000139687    13   48872887   49061122    731      55  106768       2.7523    0.0029593
_SET6_     ENSG00000136169    13   50013429   50074138    247      45  118893       1.7368     0.041216
_SET6_     ENSG00000204977    13   50565024   50599617    104      30  110030      0.32302      0.37334
_SET6_     ENSG00000136104    13   51478814   51549592    208      56  114973      0.59106      0.27724
_SET6_     ENSG00000165659    13   72007098   72446330   1564     156  103353     -0.96361      0.83238
_SET6_     ENSG00000102554    13   73624114   73656676    150      45  120861      0.79753      0.21257
_SET6_     ENSG00000118922    13   74255226   74713394   2189     226  118436       1.0113      0.15594
_SET6_     ENSG00000188243    13   76094350   76128575    135      27  121780      0.71024      0.23878
_SET6_     ENSG00000102794    13   77517632   77537777     72      26  117719     -0.46217      0.67802
_SET6_     ENSG00000136160    13   78464616   78498903    130      33  118520       4.9903   3.0146e-07
_SET6_     ENSG00000152192    13   79167497   79182673     54      22  109402     -0.63447      0.73711
_SET6_     ENSG00000102471    13   80050287   80135210    343      38  102181       1.1143      0.13257
_SET6_     ENSG00000043355    13  100629026  100644018     55      31  101286     -0.15793      0.56274
_SET6_     ENSG00000183087    13  114518522  114572046    388      60   99242     -0.13073        0.552
_SET6_     ENSG00000214274    14   21147336   21172130    161      42  118415       1.0248      0.15272
_SET6_     ENSG00000165804    14   21553205   21577881     76      29  114392      0.69419      0.24378
_SET6_     ENSG00000100888    14   21848353   21929285    292      43  104007      0.64016      0.26103
_SET6_     ENSG00000165819    14   21961277   21984517     92      26  118403       1.7516     0.039921
_SET6_     ENSG00000165821    14   21984232   22010350    125      56  106931     -0.66557      0.74716
_SET6_     ENSG00000129474    14   23435383   23456851     74      27  102857       4.5231   3.0467e-06
_SET6_     ENSG00000100813    14   23522773   23569823    161      39  118334       1.7171     0.042979
_SET6_     ENSG00000215271    14   23736666   23773656    126      55  105317       1.6879     0.045717
_SET6_     ENSG00000100968    14   24829879   24853810     78      26  120630      0.75142       0.2262
_SET6_     ENSG00000176165    14   29230050   29243870     24      17   96644      0.84668      0.19859
_SET6_     ENSG00000196792    14   31358005   31500607    511      44  115308      0.16119      0.43597
_SET6_     ENSG00000129518    14   34980135   35013916    153      32  115568     -0.52264      0.69939
_SET6_     ENSG00000129515    14   35025300   35104389    349      39  109943      0.26115      0.39699
_SET6_     ENSG00000100906    14   35865717   35878955     68      21  121915      0.39343        0.347
_SET6_     ENSG00000100916    14   36290524   36406531    368      76  108330      -1.5682      0.94158
_SET6_     ENSG00000136352    14   36980602   36995354     49      20  119105      0.20315      0.41951
_SET6_     ENSG00000198807    14   37121773   37153920    144      42  119131      -1.6131      0.94664
_SET6_     ENSG00000129514    14   38054189   38074245     64      24  114990      0.49352      0.31082
_SET6_     ENSG00000125378    14   54411454   54430479     70      27  117709      0.59064      0.27738
_SET6_     ENSG00000020577    14   55028815   55265033   1016     177  114716       1.6038     0.054382
_SET6_     ENSG00000182521    14   55875259   55928444    291      29  124943     -0.53936      0.70518
_SET6_     ENSG00000032219    14   58760103   58845605    250      58  107929       2.2077     0.013633
_SET6_     ENSG00000165617    14   59095685   59120039     75      28  115877         2.72    0.0032642
_SET6_     ENSG00000100614    14   60707470   60770805    168      27  116683     -0.58097      0.71937
_SET6_     ENSG00000126778    14   61105133   61129977     60      29  106967      -1.2226      0.88925
_SET6_     ENSG00000100625    14   61171246   61196066     79      27   96343      0.64352      0.25994
_SET6_     ENSG00000100644    14   62157231   62219976    196      48  115684       1.2507      0.10553
_SET6_     ENSG00000140009    14   64545950   64809830   1066     111  115355     -0.10039      0.53998
_SET6_     ENSG00000126804    14   64965430   65005408    148      24  124078       0.5391      0.29491
_SET6_     ENSG00000125952    14   65467892   65574413    460      75  113152      0.46335      0.32156
_SET6_     ENSG00000134001    14   67821714   67858233    155      32  119565      -0.7355      0.76898
_SET6_     ENSG00000080815    14   73598126   73695399    361      62  112585      0.92803       0.1767
_SET6_     ENSG00000119608    14   75314736   75335537     84      28  113302     -0.45608      0.67583
_SET6_     ENSG00000140044    14   75889419   75945814    285      58  116763       1.3527     0.088082
_SET6_     ENSG00000119669    14   77485888   77500034     68      24  114990      -1.4077      0.92039
_SET6_     ENSG00000198894    14   77559440   77588630    134      38  108206      -1.0806      0.86006
_SET6_     ENSG00000100603    14   78178942   78232550    277      28  124082     -0.94413      0.82745
_SET6_     ENSG00000100722    14   89024253   89084853    205      62  111674       1.5701     0.058197
_SET6_     ENSG00000053254    14   89586215   90090493   2328     276  114434       3.7703   8.1513e-05
_SET6_     ENSG00000100784    14   91331799   91531980    776      68  115668     -0.66138      0.74581
_SET6_     ENSG00000165949    14   94566182   94588033    105      37  119920     -0.66335      0.74645
_SET6_     ENSG00000133937    14   95229553   95241562     39      16  121158      -2.3824       0.9914
_SET6_     ENSG00000100697    14   95547565   95629347    250      65  109870     -0.29039      0.61424
_SET6_     ENSG00000100811    14  100699635  100754129    195      43  109305      0.37718      0.35302
_SET6_     ENSG00000089902    14  103053998  103201913    588      50  114110       -1.061      0.85566
_SET6_     ENSG00000131323    14  103238813  103382837    583      44  117852     -0.40513      0.65731
_SET6_     ENSG00000156414    14  104389799  104524004    703      45  115166      0.94396       0.1726
_SET6_     ENSG00000184990    14  105214437  105239831    125      35  108995    -0.032882      0.51312
_SET6_     ENSG00000142208    14  105230686  105267088    186      60  102065    0.0085938      0.49657
_SET6_     ENSG00000179627    14  105261933  105276049     66      26  102525      0.20017      0.42067
_SET6_     ENSG00000254585    15   23883691   23896175     55      23  102313     -0.89146      0.81366
_SET6_     ENSG00000166923    15   33005175   33031870    127      36  118087     -0.88254      0.81126
_SET6_     ENSG00000134138    15   37176406   37398504    774     145  115686     -0.29348      0.61542
_SET6_     ENSG00000137801    15   39868280   39896667    102      26  111377      0.21884      0.41339
_SET6_     ENSG00000128829    15   40221347   40332797    469      60  123569       1.7586     0.039321
_SET6_     ENSG00000140320    15   40726920   40765441    109      47  107226       2.8641     0.002091
_SET6_     ENSG00000104129    15   41055067   41104675    169      42  108549       3.0144    0.0012876
_SET6_     ENSG00000128917    15   41216538   41236237     68      24  111527      0.44815      0.32702
_SET6_     ENSG00000128965    15   41240160   41253710     54      18  113437      0.64319      0.26005
_SET6_     ENSG00000178997    15   41469923   41527941    323      28  121612      -0.7699      0.77932
_SET6_     ENSG00000187446    15   41518037   41579043    259      34  115113      0.32369      0.37309
_SET6_     ENSG00000137815    15   41695606   41780761    296      44  113166      -1.0099      0.84374
_SET6_     ENSG00000092529    15   42635301   42709516    415      43  114342      0.80338      0.21088
_SET6_     ENSG00000229474    15   44952930   45008514    138      51   98340        0.975      0.16478
_SET6_     ENSG00000255302    15   49165083   49177380     44      22  106326        1.525     0.063627
_SET6_     ENSG00000166200    15   49393268   49452858    231      43  122066       1.6193     0.052687
_SET6_     ENSG00000069869    15   56114120   56290944    876      42  123046      0.52075      0.30127
_SET6_     ENSG00000137871    15   56917379   57215769   1041      68  113756       1.9923      0.02317
_SET6_     ENSG00000169032    15   66674155   66789650    498      51  120873       1.2156      0.11207
_SET6_     ENSG00000166949    15   67351101   67492533    623     120  118453       3.2925   0.00049652
_SET6_     ENSG00000137764    15   67830047   68104461   1068      58  118447      0.75999      0.22363
_SET6_     ENSG00000188779    15   68107042   68131899     98      25  125421      0.62655      0.26548
_SET6_     ENSG00000033800    15   68341517   68488096    509      48  108805       1.4294     0.076442
_SET6_     ENSG00000140463    15   72973527   73035817    204      48  114632       1.5623     0.059105
_SET6_     ENSG00000140464    15   74282014   74345153    257      40  117374       1.1944      0.11616
_SET6_     ENSG00000169375    15   75656720   75753183    239      59   98109       1.6342     0.051105
_SET6_     ENSG00000140382    15   77707754   77782949    254      36  108677       2.6216    0.0043755
_SET6_     ENSG00000136381    15   78724773   78798798    307      39  107675       1.5724     0.057931
_SET6_     ENSG00000185787    15   79097829   79195475    566      46  117976      -1.3792      0.91608
_SET6_     ENSG00000214575    15   83206951   83322612    503      62  114975     -0.30385      0.61938
_SET6_     ENSG00000166823    15   90286892   90299541     70      18  121024     -0.21254      0.58416
_SET6_     ENSG00000185551    15   96864167   96888492     69      37   98397     -0.31827      0.62486
_SET6_     ENSG00000068305    15  100012370  100261671   1094     131  111372       1.0233      0.15307
_SET6_     ENSG00000130656    16     197686     209502     58      21  105954     -0.96801      0.83348
_SET6_     ENSG00000103126    16     332440     407673    603      77  107647       1.1678      0.12144
_SET6_     ENSG00000005513    16    1026808    1041979    133      43  105437       1.1066      0.13423
_SET6_     ENSG00000103275    16    1350548    1382019    244      43  112396     -0.16884      0.56704
_SET6_     ENSG00000167967    16    2268567    2290743    112      39  102205       1.6947     0.045067
_SET6_     ENSG00000205937    16    2298117    2323413    100      35  102474       2.9984    0.0013571
_SET6_     ENSG00000130182    16    3133891    3154318     98      33  106976     -0.34156      0.63366
_SET6_     ENSG00000122386    16    3157561    3175518     61      22  100262      -0.1822      0.57229
_SET6_     ENSG00000006194    16    3308743    3356401    158      45   97179       1.1326      0.12868
_SET6_     ENSG00000103343    16    3446235    3464370     87      26  114082     -0.54932      0.70861
_SET6_     ENSG00000005339    16    3770055    3935727    589      66  102591     -0.33204      0.63007
_SET6_     ENSG00000090447    16    4302187    4328076     74      24  109641       2.3262     0.010004
_SET6_     ENSG00000126603    16    4359762    4394598    153      69  105514        1.418       0.0781
_SET6_     ENSG00000103423    16    4470806    4511776    164      47  109878      0.06535      0.47395
_SET6_     ENSG00000187555    16    8980951    9063371    388      55  109809       2.3104     0.010433
_SET6_     ENSG00000179583    16   10966055   11031079    311      77  107766    -0.052247      0.52083
_SET6_     ENSG00000069764    16   14761405   14793526     56      32   87988     -0.12381      0.54927
_SET6_     ENSG00000167186    16   19073921   19096417    111      26  116840      0.73406      0.23146
_SET6_     ENSG00000103316    16   21245195   21319404    285      43  106428     -0.40137      0.65592
_SET6_     ENSG00000166851    16   23683977   23706688     99      19  117490     -0.54362      0.70665
_SET6_     ENSG00000134398    16   23696647   23729821    130      44  110222      -1.5385      0.93803
_SET6_     ENSG00000090905    16   24736016   24843953    418      58  110912      -1.0496      0.85305
_SET6_     ENSG00000149922    16   30092114   30108208     52      31   99667     0.023647      0.49057
_SET6_     ENSG00000103549    16   30768066   30792628     59      31  105962      -1.0097      0.84368
_SET6_     ENSG00000103510    16   31122075   31147714     79      22  109765     -0.30656      0.62041
_SET6_     ENSG00000103490    16   31207806   31219771     42      12   86867     -0.28932      0.61383
_SET6_     ENSG00000169900    16   31222283   31233680     30      13   98681     -0.62136      0.73282
_SET6_     ENSG00000102935    16   49516435   49896830   1736     209  117741       1.8417     0.032759
_SET6_     ENSG00000166164    16   50342398   50407845    272      38  105582     -0.12901      0.55133
_SET6_     ENSG00000083799    16   50770961   50840846    227      46  109789       2.5966    0.0047081
_SET6_     ENSG00000103449    16   51164886   51190278     80      34  100259      0.12324      0.45096
_SET6_     ENSG00000125124    16   56495748   56559195    185      39  120517      0.66993      0.25145
_SET6_     ENSG00000087250    16   56617986   56630000     66      22  124226      0.99488       0.1599
_SET6_     ENSG00000102900    16   56759017   56883797    464      71  117712     -0.53089      0.70225
_SET6_     ENSG00000140853    16   57018397   57122443    633     115  119094       2.2323     0.012797
_SET6_     ENSG00000102978    16   57491299   57510922     80      31  114276     -0.49083      0.68823
_SET6_     ENSG00000182885    16   57697099   57728975    268      64  111322      -0.6779      0.75108
_SET6_     ENSG00000103037    16   58544383   58559431     66      22  122492       2.4362    0.0074204
_SET6_     ENSG00000125107    16   58548855   58668790    531      33  123874       1.7495     0.040098
_SET6_     ENSG00000102878    16   67192288   67208848     26      17   94468       2.1377      0.01627
_SET6_     ENSG00000140939    16   67199057   67214643     31      16  108293       3.8447   6.0357e-05
_SET6_     ENSG00000102974    16   67591310   67678086    296      63   99239       2.2129     0.013451
_SET6_     ENSG00000072736    16   68113654   68268162    456      42  115265      0.99267      0.16044
_SET6_     ENSG00000184939    16   68558993   68614975    348      27  118324     -0.98593      0.83792
_SET6_     ENSG00000132604    16   69384464   69447474    216      65  109458       2.3863    0.0085097
_SET6_     ENSG00000198373    16   69791209   69980644    884      65  112290       3.0568    0.0011187
_SET6_     ENSG00000224470    16   71874894   71924171    158      41  115772      0.97163      0.16562
_SET6_     ENSG00000140836    16   72811784   73098597   1415     190  112013      -1.3303       0.9083
_SET6_     ENSG00000090863    16   74480856   74646012    773      54  112210       1.5815     0.056884
_SET6_     ENSG00000178573    16   79614740   79639611    137      61  108503      -1.0434      0.85163
_SET6_     ENSG00000230989    16   83836448   83858342    122      36  113856     -0.25156      0.59931
_SET6_     ENSG00000140968    16   85927409   85961215    175      39  121612     -0.79734      0.78737
_SET6_     ENSG00000103241    16   86539133   86553076     70      26  124002         -1.6       0.9452
_SET6_     ENSG00000176692    16   86595857   86607539     74      19  126161      0.24049      0.40498
_SET6_     ENSG00000179588    16   88514725   88608424    594      86  110820      -0.1859      0.57374
_SET6_     ENSG00000185669    16   88739090   88757901     92      40  104251       1.5567     0.059776
_SET6_     ENSG00000129993    16   88936266   89048612    856      98  109179     -0.55818      0.71164
_SET6_     ENSG00000131165    16   89705839   89729253    178      41  116267      -1.3874      0.91734
_SET6_     ENSG00000141002    16   89935000   89982792    329      32  110200      0.17842       0.4292
_SET6_     ENSG00000132376    17    1392865    1425182    172      35  116721      -1.4721      0.92951
_SET6_     ENSG00000167711    17    1641130    1663562    166      52  101806      0.16174      0.43576
_SET6_     ENSG00000132386    17    1660253    1685868    166      37  112075       1.1232      0.13067
_SET6_     ENSG00000177374    17    1952448    1967981     66      26  113669       1.7037     0.044221
_SET6_     ENSG00000070444    17    2282354    2309412    116      30  116128      0.27377      0.39213
_SET6_     ENSG00000132382    17    4437192    4463926    181      86  101256       2.3087     0.010481
_SET6_     ENSG00000141480    17    4608784    4629794    161      42  104492      0.69327      0.24407
_SET6_     ENSG00000141497    17    4638319    4654411     93      34  116055      0.14333      0.44302
_SET6_     ENSG00000108559    17    5259258    5328480    384      35  126812      -0.5961      0.72445
_SET6_     ENSG00000108561    17    5331097    5357150    102      30  120557     -0.33678      0.63186
_SET6_     ENSG00000161940    17    6921339    6938609     63      18  105974      0.86297      0.19408
_SET6_     ENSG00000132522    17    7209643    7223883     67      25  104261      0.17857      0.42914
_SET6_     ENSG00000174282    17    7357685    7392582    164      34  116145       1.3523      0.08814
_SET6_     ENSG00000181222    17    7382685    7422933    223      27  124242       1.2402      0.10746
_SET6_     ENSG00000129194    17    7486496    7498488     32      20  106564      0.43504      0.33177
_SET6_     ENSG00000129245    17    7489548    7523189     98      35  115684       1.4546      0.07289
_SET6_     ENSG00000141510    17    7560097    7595856    181      56  115913       1.2277      0.10977
_SET6_     ENSG00000179111    17    8018908    8032410     81      27  114330     -0.93745      0.82574
_SET6_     ENSG00000179094    17    8038790    8064824    119      35  115280     -0.16852      0.56691
_SET6_     ENSG00000178999    17    8103056    8118918     67      25  120013      0.55118      0.29075
_SET6_     ENSG00000141052    17   12564207   12677266    612     105  114831      -1.6705      0.95259
_SET6_     ENSG00000141027    17   15927471   16126499    674      48  109274      0.41138       0.3404
_SET6_     ENSG00000170315    17   16279112   16291059     46      17  104140      -1.0892      0.86196
_SET6_     ENSG00000154803    17   17110526   17145502    189      44  113845      -1.0903       0.8622
_SET6_     ENSG00000108551    17   17392751   17404709     53      20  113186       3.2832   0.00051327
_SET6_     ENSG00000072310    17   17708713   17745325    139      37  101174       2.3258     0.010013
_SET6_     ENSG00000168961    17   25951824   25981586    155      30  109532       1.1981      0.11544
_SET6_     ENSG00000007171    17   26078792   26132525    250      63  114766       1.2691      0.10221
_SET6_     ENSG00000132589    17   27201353   27229697     83      35  109613     -0.23241      0.59189
_SET6_     ENSG00000109118    17   27227268   27283789    130      51  101769       1.7882     0.036873
_SET6_     ENSG00000178691    17   30259037   30333064    370      31  106728     -0.16312      0.56479
_SET6_     ENSG00000176749    17   30808637   30823274     51      25  105936      -1.1986      0.88465
_SET6_     ENSG00000161570    17   34193495   34212797     68      18  120925       2.4317    0.0075135
_SET6_     ENSG00000006075    17   34410602   34422515     87      23  103897     -0.52324       0.6996
_SET6_     ENSG00000129277    17   34425983   34438014    126      21  104119      -1.1987      0.88468
_SET6_     ENSG00000132130    17   35289084   35306917     67      28  101949       -1.287      0.90095
_SET6_     ENSG00000108753    17   36041435   36110237    322     100  111497       0.6651      0.25299
_SET6_     ENSG00000056661    17   36885150   36911070    111      41  117046        4.908   4.6012e-07
_SET6_     ENSG00000125686    17   37555538   37612539    191      34  112834     -0.22625       0.5895
_SET6_     ENSG00000141738    17   37889180   37908544     60      22  108172       1.0571      0.14522
_SET6_     ENSG00000126351    17   38209543   38255120    165      57  106062     -0.57721       0.7181
_SET6_     ENSG00000126368    17   38244040   38261978     67      28  115003     -0.19186      0.57608
_SET6_     ENSG00000131759    17   38460444   38518094    149      42  103777       1.6831     0.046179
_SET6_     ENSG00000073584    17   38776214   38809760    108      37  109135     -0.13505      0.55371
_SET6_     ENSG00000173805    17   39868994   39895896    172      34  111528     -0.87548      0.80934
_SET6_     ENSG00000168610    17   40460342   40545586    263      32  112679      0.71894      0.23609
_SET6_     ENSG00000108788    17   40714086   40730257     55      22  103579      0.18395      0.42703
_SET6_     ENSG00000012048    17   41191312   41282500    294      20  114902      0.66057      0.25444
_SET6_     ENSG00000108840    17   42149114   42206070    193      42  108797       2.1614      0.01533
_SET6_     ENSG00000186834    17   43219684   43234468     46      20  119805        2.671    0.0037812
_SET6_     ENSG00000168517    17   43233067   43252407     60      26  111390       1.9191     0.027483
